country,flag,hydro_energy_per_capita,coal_cons_per_capita,oil_energy_per_capita,nuclear_energy_per_capita,gas_energy_per_capita
Algeria,actual,-6.3839999999999995,-77.41,-671.2449999999999,0.0,-573.4959999999992
Algeria,expected,-8.831,-42.184,-541.4089999999997,0.0,349.65200000000004
Algeria,diff,2.447,-35.226,-129.83600000000024,0.0,-923.1479999999992
Argentina,actual,-239.99399999999991,40.82599999999999,-793.2959999999994,82.97300000000007,-650.5820000000003
Argentina,expected,-484.7839999999999,128.80800000000002,557.3980000000001,86.76200000000006,-260.10000000000036
Argentina,diff,244.78999999999996,-87.98200000000003,-1350.6939999999995,-3.7889999999999873,-390.48199999999997
Australia,actual,17.88499999999999,-947.8919999999998,-3478.7520000000004,0.0,-889.4880000000012
Australia,expected,151.8639999999998,-1726.8359999999993,-3152.326000000001,0.0,-2106.8269999999993
Australia,diff,-133.97899999999981,778.9439999999995,-326.4259999999995,0.0,1217.3389999999981
Austria,actual,263.3019999999997,-563.4679999999998,-2318.4230000000007,0.0,-450.27800000000025
Austria,expected,-753.994999999999,-442.0450000000001,-1537.019000000002,0.0,81.54399999999987
Austria,diff,1017.2969999999987,-121.42299999999977,-781.4039999999986,0.0,-531.8220000000001
Azerbaijan,expected,-79.00900000000001,-0.601,163.41399999999976,0.0,907.3690000000006
Azerbaijan,diff,-50.98499999999996,0.297,-720.5079999999998,0.0,-404.28299999999945
Azerbaijan,actual,-129.99399999999997,-0.304,-557.094,0.0,503.08600000000115
Bangladesh,diff,0.4559999999999995,62.831999999999994,-216.46399999999994,0.0,-20.53599999999983
Bangladesh,actual,-2.117000000000001,22.27199999999999,-122.77199999999993,0.0,-82.13199999999983
Bangladesh,expected,-2.5730000000000004,-40.56,93.69200000000001,0.0,-61.596000000000004
Belarus,diff,7.6910000000000025,-22.889999999999986,483.6949999999997,-1426.933,-1162.101999999999
Belarus,actual,13.403999999999996,-588.4800000000001,-343.0040000000008,88.42,-1384.5119999999988
Belarus,expected,5.712999999999994,-565.5900000000001,-826.6990000000005,1515.353,-222.40999999999985
Belgium,diff,-33.592999999999996,-244.56399999999985,-2799.6719999999987,-3377.0339999999997,95.27399999999943
Belgium,actual,-8.532000000000004,-708.415,-4607.220999999998,-2058.4529999999995,-403.03199999999924
Belgium,expected,25.060999999999993,-463.8510000000001,-1807.548999999999,1318.5810000000001,-498.3059999999987
Brazil,diff,453.28200000000015,-158.221,-431.0109999999995,-6.157999999999987,-413.212
Brazil,expected,-522.6120000000001,75.77300000000002,48.597999999999956,-20.36500000000001,199.88100000000009
Brazil,actual,-69.32999999999993,-82.44799999999998,-382.41299999999956,-26.522999999999996,-213.3309999999999
Bulgaria,expected,736.3960000000002,465.7089999999989,-281.01800000000003,74.26599999999962,781.3500000000004
Bulgaria,diff,-770.0070000000001,-1927.1679999999997,-494.9930000000004,-8.448999999999614,-610.5290000000005
Bulgaria,actual,-33.610999999999876,-1461.4590000000007,-776.0110000000004,65.81700000000001,170.8209999999999
Canada,expected,-592.4049999999988,-1068.4899999999998,-4482.200999999997,-721.0320000000002,-530.9429999999993
Canada,diff,566.6229999999996,418.51099999999997,-997.0879999999997,432.6179999999995,-662.4150000000009
Canada,actual,-25.781999999999243,-649.9789999999998,-5479.288999999997,-288.41400000000067,-1193.3580000000002
Chile,expected,-542.424,-412.89500000000044,-215.17199999999866,0.0,79.3449999999998
Chile,diff,529.7339999999999,-371.125,-866.7120000000014,0.0,-269.4199999999996
Chile,actual,-12.690000000000055,-784.0200000000004,-1081.884,0.0,-190.07499999999982
China,diff,50.39499999999998,-629.1470000000008,-146.60599999999977,-69.92100000000005,-304.53200000000015
China,actual,76.904,302.3949999999986,35.89000000000033,27.341999999999985,193.52199999999993
China,expected,26.509000000000015,931.5419999999995,182.4960000000001,97.26300000000003,498.0540000000001
Colombia,actual,-289.2600000000002,-136.58800000000008,-736.0130000000004,0.0,12.03500000000031
Colombia,expected,213.6210000000001,-458.17700000000013,265.8739999999998,0.0,-113.55799999999999
Colombia,diff,-502.8810000000003,321.58900000000006,-1001.8870000000002,0.0,125.5930000000003
Croatia,actual,-88.86699999999973,-161.173,-1308.3950000000004,0.0,392.84299999999985
Croatia,expected,874.9230000000002,3.199000000000069,-753.4160000000011,0.0,182.75900000000001
Croatia,diff,-963.79,-164.37200000000007,-554.9789999999994,0.0,210.08399999999983
Denmark,actual,-0.018000000000000682,-226.53999999999996,-2410.035,0.0,-1012.8819999999996
Denmark,expected,-0.42799999999999994,293.405,-2311.4179999999997,0.0,-952.2809999999995
Denmark,diff,0.40999999999999925,-519.9449999999999,-98.61700000000019,0.0,-60.60100000000011
Ecuador,expected,15.017999999999574,25.154999999999998,-214.79299999999967,0.0,-48.599000000000046
Ecuador,diff,-126.66999999999962,-14.932999999999996,-1400.9930000000004,0.0,-14.849999999999966
Ecuador,actual,-111.65200000000004,10.222000000000001,-1615.786,0.0,-63.44900000000001
Egypt,diff,30.618000000000052,-47.908000000000015,-195.1590000000001,0.0,-260.09700000000066
Egypt,actual,12.83200000000005,-135.93800000000002,-536.3620000000001,0.0,-164.04200000000037
Egypt,expected,-17.786,-88.03,-341.203,0.0,96.05500000000029
Estonia,diff,17.908,-2008.2400000000016,193.47599999999875,0.0,-425.30099999999993
Estonia,actual,21.523000000000003,-5086.481,329.0169999999998,0.0,-277.1959999999999
Estonia,expected,3.615000000000002,-3078.240999999998,135.54100000000108,0.0,148.10500000000002
Finland,diff,80.04199999999946,-454.53699999999935,1169.2250000000022,-87.94700000000012,5.010999999999967
Finland,actual,1614.4789999999994,-1750.0779999999995,-2062.6889999999985,-319.6829999999991,63.38999999999987
Finland,expected,1534.437,-1295.5410000000002,-3231.9140000000007,-231.73599999999897,58.378999999999905
France,actual,219.91899999999987,-365.06999999999994,-2250.2569999999996,-1842.8069999999989,-485.9859999999999
France,expected,85.02299999999968,-70.40099999999984,-1426.7099999999991,-911.0739999999987,-110.01200000000063
France,diff,134.89600000000019,-294.6690000000001,-823.5470000000005,-931.7330000000002,-375.97399999999925
Germany,expected,-8.825000000000045,-50.8130000000001,-1682.9220000000005,-202.63799999999992,260.8099999999995
Germany,diff,-39.23199999999997,-1277.7620000000006,161.60699999999997,-133.96000000000004,-545.1910000000007
Germany,actual,-48.057000000000016,-1328.5750000000007,-1521.3150000000005,-336.59799999999996,-284.3810000000012
Greece,expected,481.82500000000005,-1609.809,-2205.3510000000006,0.0,1236.982
Greece,diff,-643.516,119.80799999999999,-905.009,0.0,-649.085
Greece,actual,-161.69099999999992,-1490.001,-3110.3600000000006,0.0,587.8969999999999
Hong Kong,expected,0.0,-3908.080000000001,-11920.522,0.0,2281.576
Hong Kong,diff,0.0,-569.3360000000002,2345.3230000000003,0.0,152.89599999999973
Hong Kong,actual,0.0,-4477.416000000001,-9575.199,0.0,2434.4719999999998
Hungary,expected,-1.9440000000000026,-547.1909999999998,-21.851999999998952,-81.19400000000041,1059.6239999999998
Hungary,actual,6.645000000000003,-179.01899999999978,-855.2649999999994,-66.56500000000051,379.8299999999999
Hungary,diff,8.589000000000006,368.172,-833.4130000000005,14.628999999999905,-679.7939999999999
India,actual,-0.9800000000000182,-230.76400000000012,-201.15499999999997,-2.078000000000003,3.8780000000000427
India,expected,-10.800000000000011,195.77700000000004,-179.36899999999991,-4.25,14.744000000000028
India,diff,9.819999999999993,-426.54100000000017,-21.786000000000058,2.171999999999997,-10.865999999999985
Indonesia,actual,28.079999999999984,-156.74800000000005,-401.0720000000001,0.0,-120.34400000000005
Indonesia,expected,29.155,-184.09299999999985,-306.8899999999999,0.0,-118.26099999999997
Indonesia,diff,-1.075000000000017,27.3449999999998,-94.18200000000024,0.0,-2.0830000000000837
Iran,actual,-333.05899999999986,26.65299999999999,-492.15200000000004,-4.5589999999999975,1895.5430000000015
Iran,expected,-619.722,18.236999999999995,-125.56600000000071,-86.32400000000001,877.2150000000001
Iran,diff,286.6630000000001,8.415999999999997,-366.58599999999933,81.76500000000001,1018.3280000000013
Ireland,expected,-84.07100000000003,353.721,-1726.8009999999995,0.0,-633.4570000000003
Ireland,diff,101.96300000000002,-717.953,-1220.442000000001,0.0,507.70200000000114
Ireland,actual,17.891999999999996,-364.23199999999997,-2947.2430000000004,0.0,-125.7549999999992
Israel,diff,0.17499999999999982,680.7059999999992,-308.8289999999997,0.0,-316.97099999999955
Israel,actual,0.41999999999999993,-963.1130000000003,-2224.224,0.0,411.09100000000035
Israel,expected,0.2450000000000001,-1643.8189999999995,-1915.3950000000004,0.0,728.0619999999999
Italy,diff,97.68299999999999,-104.46499999999992,-1150.786,0.0,-851.496000000001
Italy,actual,56.65299999999979,-302.28999999999996,-2031.2619999999988,0.0,-486.71500000000015
Italy,expected,-41.0300000000002,-197.82500000000005,-880.4759999999987,0.0,364.78100000000086
Japan,diff,-29.464999999999918,-843.6589999999997,-349.45600000000013,-368.4040000000001,7.684999999999491
Japan,actual,93.58300000000008,-685.9989999999998,-1801.9389999999985,-454.6,-281.5030000000006
Japan,expected,123.048,157.65999999999985,-1452.4829999999984,-86.19599999999991,-289.1880000000001
Kazakhstan,diff,81.46299999999997,-331.37699999999677,-1701.5120000000006,0.0,-1957.8829999999998
Kazakhstan,expected,-149.43200000000002,-1061.8690000000024,394.4359999999997,0.0,754.2890000000007
Kazakhstan,actual,-67.96900000000005,-1393.2459999999992,-1307.076000000001,0.0,-1203.5939999999991
Latvia,expected,882.3890000000001,-129.235,-737.4269999999997,0.0,-660.9650000000001
Latvia,diff,-177.404,31.342000000000013,-562.6290000000008,0.0,-526.9569999999994
Latvia,actual,704.9850000000001,-97.893,-1300.0560000000005,0.0,-1187.9219999999996
Lithuania,expected,40.73199999999997,-35.684999999999945,-431.45600000000013,0.0,424.5129999999999
Lithuania,diff,-80.46499999999997,-135.83100000000002,-295.4969999999994,0.0,373.79499999999916
Lithuania,actual,-39.733000000000004,-171.51599999999996,-726.9529999999995,0.0,798.3079999999991
Luxembourg,expected,-17.404999999999973,-141.1439999999999,-8728.949,0.0,-647.6570000000011
Luxembourg,diff,-55.545000000000016,-8.01400000000001,-2666.777000000002,0.0,-722.7960000000003
Luxembourg,actual,-72.94999999999999,-149.1579999999999,-11395.726000000002,0.0,-1370.4530000000013
Malaysia,diff,-194.4300000000003,744.3139999999994,538.853000000001,0.0,-2158.4930000000004
Malaysia,actual,54.50599999999986,1217.1229999999996,-2512.967999999999,0.0,-646.7540000000008
Malaysia,expected,248.93600000000015,472.8090000000002,-3051.821,0.0,1511.7389999999996
Mexico,actual,61.587000000000046,-674.7850000000001,-1128.7150000000001,-2.703000000000003,-144.9349999999995
Mexico,expected,219.58499999999998,-767.423,-236.89000000000033,10.002999999999986,-233.60599999999977
Mexico,diff,-157.99799999999993,92.63799999999992,-891.8249999999998,-12.705999999999989,88.67100000000028
Morocco,actual,-29.579,41.44200000000001,-585.6949999999997,0.0,-64.52700000000002
Morocco,expected,-33.934999999999995,184.3040000000001,-128.05599999999959,0.0,-65.89600000000002
Morocco,diff,4.3559999999999945,-142.86200000000008,-457.6390000000001,0.0,1.3689999999999998
Netherlands,actual,-4.323,-1561.4620000000004,-1481.6500000000015,21.260999999999967,-699.3389999999999
Netherlands,expected,1.9309999999999992,-581.5940000000005,-1620.4730000000018,-20.377000000000066,-1494.5560000000005
Netherlands,diff,-6.254,-979.8679999999999,138.82300000000032,41.638000000000034,795.2170000000006
New Zealand,actual,-1014.6900000000005,-243.1959999999999,-3913.947,0.0,-653.375
New Zealand,diff,230.11999999999898,-470.7950000000001,288.82100000000173,0.0,1482.1759999999995
New Zealand,expected,-1244.8099999999995,227.59900000000016,-4202.768000000002,0.0,-2135.5509999999995
Norway,diff,-601.781999999992,-143.40499999999997,-444.6959999999999,0.0,402.10699999999997
Norway,actual,7044.5509999999995,-28.154999999999973,-1631.4399999999987,0.0,-341.28099999999904
Norway,expected,7646.332999999991,115.25,-1186.7439999999988,0.0,-743.387999999999
Pakistan,diff,36.69,-67.62800000000004,-150.77999999999997,-64.37299999999999,-128.36599999999999
Pakistan,actual,35.64699999999999,98.80700000000002,-49.672000000000025,1.909000000000006,-180.048
Pakistan,expected,-1.0430000000000064,166.43500000000006,101.10799999999995,66.282,-51.682000000000016
Peru,diff,-71.84400000000005,-52.66199999999998,-718.2199999999998,0.0,-198.96099999999979
Peru,actual,-120.60899999999992,-70.862,-1074.308,0.0,-48.45100000000002
Peru,expected,-48.76499999999987,-18.200000000000017,-356.0880000000002,0.0,150.50999999999976
Philippines,actual,-22.631,-23.026999999999816,-459.2009999999998,0.0,-39.42399999999998
Philippines,expected,20.087000000000018,89.62000000000012,-345.53,0.0,-93.65299999999996
Philippines,diff,-42.71800000000002,-112.64699999999993,-113.67099999999982,0.0,54.228999999999985
Poland,expected,25.673000000000002,406.2960000000003,-66.40499999999884,0.0,413.9879999999994
Poland,diff,-15.01000000000002,-1363.7960000000003,-437.5670000000009,0.0,-359.02799999999934
Poland,actual,10.662999999999982,-957.5,-503.97199999999975,0.0,54.960000000000036
Portugal,expected,769.065,-1189.86,-2193.8449999999993,0.0,-315.0129999999999
Portugal,diff,53.378000000000156,417.8299999999999,-322.9390000000003,0.0,214.71399999999994
Portugal,actual,822.4430000000002,-772.03,-2516.7839999999997,0.0,-100.29899999999998
Romania,expected,253.6199999999999,-521.2380000000003,303.0529999999999,4.507000000000062,466.64300000000003
Romania,diff,-279.51399999999967,-292.27099999999973,-480.16299999999956,20.38799999999992,-192.53499999999985
Romania,actual,-25.893999999999778,-813.509,-177.10999999999967,24.894999999999982,274.1080000000002
Russia,diff,-37.29599999999982,-280.34900000000016,-835.143,-111.61499999999978,-658.6750000000029
Russia,actual,315.85199999999986,-519.6909999999998,-489.991,109.68899999999985,-1404.255000000001
Russia,expected,353.1479999999997,-239.34199999999964,345.15200000000004,221.30399999999963,-745.5799999999981
Slovenia,actual,530.8730000000005,-225.83200000000033,-2343.0329999999994,591.3890000000001,-16.402000000000044
Slovenia,expected,229.8829999999998,-681.6869999999999,-1522.554,-208.84699999999975,195.13599999999997
Slovenia,diff,300.9900000000007,455.85499999999956,-820.4789999999994,800.2359999999999,-211.538
South Africa,actual,31.806000000000004,-593.8379999999997,-1132.8020000000006,-152.64399999999995,-58.34599999999989
South Africa,expected,55.282000000000004,-1213.461000000003,-824.8320000000003,-54.73599999999999,-23.184999999999945
South Africa,diff,-23.476,619.6230000000032,-307.97000000000025,-97.90799999999996,-35.160999999999945
South Korea,actual,54.50999999999999,-2236.6839999999993,-1365.719000000001,662.098,281.47400000000016
South Korea,expected,12.310000000000002,-2166.8989999999994,450.86499999999796,530.7219999999998,1224.2130000000016
South Korea,diff,42.19999999999999,-69.78499999999985,-1816.583999999999,131.3760000000002,-942.7390000000014
Spain,diff,59.0920000000001,-26.445999999999913,-1279.8870000000006,111.13099999999986,-368.4409999999998
Spain,actual,433.97,-525.4839999999999,-3112.188,-25.597999999999956,-773.0919999999996
Spain,expected,374.87799999999993,-499.038,-1832.3009999999995,-136.72899999999981,-404.65099999999984
Sweden,expected,1684.8050000000003,-384.6399999999999,-87.82799999999952,-3585.075999999999,14.317000000000007
Sweden,diff,-138.99299999999857,-13.08199999999988,-1096.0330000000013,-748.219000000001,-59.73199999999997
Sweden,actual,1545.8120000000017,-397.72199999999975,-1183.8610000000008,-4333.295,-45.414999999999964
Switzerland,diff,379.77599999999984,-0.5630000000000024,43.33899999999994,1353.6390000000001,-309.71299999999974
Switzerland,actual,-178.39900000000125,-5.723000000000013,-2535.4539999999997,-749.6569999999992,-134.44100000000026
Switzerland,expected,-558.1750000000011,-5.160000000000011,-2578.7929999999997,-2103.2959999999994,175.27199999999948
Taiwan,diff,-48.202999999999975,-1307.5879999999997,-1171.2649999999994,401.8699999999999,-991.5570000000007
Taiwan,actual,-281.83200000000005,-1308.7949999999983,-969.2890000000007,-112.35600000000022,664.0509999999995
Taiwan,expected,-233.62900000000008,-1.2069999999985157,201.97599999999875,-514.2260000000001,1655.6080000000002
Thailand,diff,0.896000000000015,-65.90000000000009,-25.795999999998457,0.0,-10.974999999999454
Thailand,actual,-66.44399999999999,185.5619999999999,-997.771999999999,0.0,-588.5339999999997
Thailand,expected,-67.34,251.462,-971.9760000000006,0.0,-577.5590000000002
Trinidad and Tobago,actual,0.0,0.0,-1948.8910000000014,0.0,-14931.210999999996
Trinidad and Tobago,diff,0.0,0.0,331.2029999999995,0.0,-2259.0939999999973
Trinidad and Tobago,expected,0.0,0.0,-2280.094000000001,0.0,-12672.116999999998
Turkey,diff,711.481,-75.04699999999957,-352.2489999999998,0.0,-1267.9350000000004
Turkey,actual,-366.90200000000004,-225.5590000000002,-397.78999999999996,0.0,298.21000000000004
Turkey,expected,-1078.383,-150.51200000000063,-45.54100000000017,0.0,1566.1450000000004
Ukraine,diff,-173.83400000000006,-33.534999999999854,-55.24900000000025,-598.8310000000001,420.2420000000002
Ukraine,actual,64.35899999999998,-808.1499999999996,-143.596,-375.2469999999994,281.02800000000025
Ukraine,expected,238.19300000000004,-774.6149999999998,-88.34699999999975,223.58400000000074,-139.21399999999994
United Kingdom,expected,-24.24199999999999,-77.1210000000001,-2653.932999999999,-415.00999999999976,-227.83699999999953
United Kingdom,diff,59.053999999999974,-18.563999999999965,-330.78499999999985,176.3699999999999,-526.0959999999995
United Kingdom,actual,34.81199999999998,-95.68500000000006,-2984.717999999999,-238.63999999999987,-753.9329999999991
United States,expected,-317.67899999999986,-708.6140000000014,-1486.9629999999997,-331.4859999999999,-634.7720000000008
United States,diff,277.57399999999984,-1105.8849999999993,-2389.5519999999997,122.56500000000051,22.168000000001484
United States,actual,-40.10500000000002,-1814.4990000000007,-3876.5149999999994,-208.92099999999937,-612.6039999999994
Uzbekistan,expected,-131.873,123.16799999999989,41.026999999999816,0.0,127.32600000000093
Uzbekistan,diff,6.944000000000017,97.48000000000002,55.738000000000056,0.0,-651.6310000000012
Uzbekistan,actual,-124.92899999999997,220.6479999999999,96.76499999999987,0.0,-524.3050000000003
Venezuela,diff,-101.73199999999997,1.9490000000000016,-411.9980000000005,0.0,-2382.258999999999
Venezuela,actual,480.8090000000002,-8.675,-3356.955000000001,0.0,-1260.1769999999988
Venezuela,expected,582.5410000000002,-10.624000000000002,-2944.9570000000003,0.0,1122.0820000000003
Vietnam,expected,292.4200000000001,-119.88400000000001,-678.6390000000001,0.0,-289.11199999999997
Vietnam,actual,160.3800000000001,246.15800000000036,-554.6610000000001,0.0,-113.11199999999997
Vietnam,diff,-132.03999999999996,366.04200000000037,123.97800000000007,0.0,176.0
