country,flag,hydro,coal,oil,nuclear,gas
Algeria,actual,-0.271,-3.279,-25.025999999999982,0.0,-17.045999999999992
Algeria,calc,-0.1885,-1.698,-7.873499999999993,0.0,15.491500000000002
Argentina,actual,-10.338000000000008,1.891,-33.637,3.875,-26.276999999999987
Argentina,calc,-10.544500000000003,5.927999999999999,14.529500000000013,2.091000000000001,-3.1239999999999952
Australia,calc,2.3795,-33.94499999999999,-34.141999999999996,0.0,-22.406499999999994
Australia,actual,0.9160000000000039,-18.331000000000017,-81.85000000000002,0.0,-17.39699999999999
Austria,actual,2.683000000000007,-4.913,-20.171999999999997,0.0,-3.7319999999999993
Austria,calc,-3.107999999999997,-3.7830000000000013,-6.492999999999995,0.0,0.5749999999999957
Azerbaijan,calc,-0.39149999999999996,-0.006,1.0899999999999999,0.0,5.141000000000005
Azerbaijan,actual,-1.3159999999999998,-0.003,-5.408000000000001,0.0,5.7760000000000105
Bangladesh,calc,-0.19299999999999995,-5.753999999999998,9.347000000000001,0.0,-1.6274999999999977
Bangladesh,actual,-0.32999999999999985,4.282000000000004,-19.152,0.0,-10.190999999999974
Belarus,calc,0.022999999999999965,-5.571,-4.4510000000000005,7.257,-2.01400000000001
Belarus,actual,0.1259999999999999,-5.734,-3.7169999999999987,0.852,-14.13500000000002
Belgium,calc,0.14900000000000002,-5.071000000000005,-8.921999999999997,8.137500000000003,-2.1315000000000026
Belgium,actual,-0.09500000000000008,-8.031000000000002,-51.673,-23.310000000000002,-3.8870000000000005
Brazil,actual,-7.780999999999949,-16.37899999999999,-72.84300000000007,-5.381999999999998,-43.096000000000004
Brazil,calc,-49.70699999999994,18.395999999999987,13.023500000000013,-1.9369999999999976,23.565999999999974
Bulgaria,calc,2.4439999999999995,1.8079999999999998,-1.6694999999999993,-0.23899999999999721,2.355500000000001
Bulgaria,actual,-0.3150000000000004,-10.816000000000003,-6.033999999999999,0.02400000000000091,0.8969999999999985
Canada,calc,-2.8210000000000264,-37.917,-74.58249999999998,-11.613,-0.12950000000000728
Canada,actual,8.841999999999985,-22.976,-194.952,-8.447000000000003,-33.636999999999944
Chile,calc,-4.613499999999998,-5.9739999999999895,0.41150000000000375,0.0,1.5489999999999995
Chile,actual,0.5290000000000035,-13.938999999999993,-17.99599999999998,0.0,-2.777000000000001
China,actual,116.81500000000005,480.3169999999991,68.15700000000015,40.863000000000056,282.40499999999975
China,calc,23.652499999999918,1393.2389999999978,141.29199999999992,70.5935,359.45550000000003
Colombia,actual,-12.607,-6.162000000000006,-34.23600000000002,0.0,2.5190000000000055
Colombia,calc,7.403000000000006,-22.183000000000003,9.75399999999999,0.0,-1.2209999999999965
Croatia,calc,1.6470000000000002,-0.07000000000000028,-1.8644999999999996,0.0,0.13549999999999862
Croatia,actual,-0.4859999999999989,-0.6990000000000007,-5.677,0.0,1.386999999999997
Denmark,calc,-0.0010000000000000009,1.825000000000001,-6.3145000000000024,0.0,-2.6415000000000006
Denmark,actual,0.0,-1.2649999999999988,-13.579999999999998,0.0,-5.7520000000000024
Ecuador,calc,0.9834999999999994,0.45000000000000007,-0.1144999999999925,0.0,-0.34199999999999964
Ecuador,actual,-1.0470000000000041,0.18100000000000002,-26.480999999999995,0.0,-1.0179999999999998
Egypt,actual,2.0279999999999987,-14.207999999999998,-50.93399999999997,0.0,-7.307999999999993
Egypt,calc,-0.33149999999999835,-8.826999999999998,-12.023499999999984,0.0,15.430500000000052
Estonia,calc,0.0024999999999999988,-4.044999999999998,0.09949999999999992,0.0,0.10100000000000042
Estonia,actual,0.028999999999999998,-6.696999999999999,0.4649999999999981,0.0,-0.36099999999999977
Finland,calc,4.289999999999999,-7.064999999999998,-8.802499999999995,-0.5625,0.18849999999999945
Finland,actual,8.973999999999997,-9.617999999999999,-11.24799999999999,-1.6809999999999974,0.379999999999999
France,calc,2.8940000000000055,-4.381,-45.141999999999996,-28.36450000000002,-3.1030000000000086
France,actual,14.364000000000004,-23.441000000000003,-144.00900000000001,-117.56600000000003,-30.79200000000003
Germany,calc,-0.2865000000000002,-2.2830000000000155,-68.16150000000005,-8.153499999999994,12.274999999999977
Germany,actual,-3.8909999999999982,-109.351,-123.95900000000006,-27.63499999999999,-21.754999999999995
Greece,calc,2.452,-17.266999999999996,-12.596000000000004,0.0,6.109999999999999
Greece,actual,-1.7619999999999987,-15.879999999999995,-33.733000000000004,0.0,5.844000000000001
Hong Kong,calc,0.0,-29.304000000000002,-44.694500000000005,0.0,8.546500000000002
Hong Kong,actual,0.0,-33.538000000000004,-71.668,0.0,18.281
Hungary,calc,-0.010999999999999954,-5.449,-0.4164999999999992,-0.5250000000000021,4.832000000000001
Hungary,actual,0.06400000000000006,-1.7920000000000016,-8.551999999999992,-0.7390000000000043,3.490000000000009
India,actual,2.7309999999999945,-274.35100000000057,-254.09299999999985,-1.8049999999999926,11.102999999999952
India,calc,-3.8245000000000005,363.76900000000023,-101.55749999999989,-1.9810000000000016,15.614499999999964
Indonesia,calc,4.421999999999997,-38.000999999999976,-35.406000000000006,0.0,-12.670000000000016
Indonesia,actual,8.104,-35.851,-101.83399999999995,0.0,-28.87900000000002
Iran,calc,-26.543,1.9009999999999998,1.9570000000000505,-3.6674999999999995,55.70899999999983
Iran,actual,-28.323999999999998,2.4849999999999994,-34.97199999999998,-0.26200000000000045,183.7769999999996
Ireland,actual,0.11199999999999966,-1.6820000000000004,-13.668999999999997,0.0,-0.07799999999999585
Ireland,calc,-0.18800000000000006,1.9809999999999999,-3.4849999999999994,0.0,-1.088000000000001
Israel,calc,0.0019999999999999983,-12.665,-6.366,0.0,5.059000000000005
Israel,actual,0.0049999999999999975,-7.429000000000002,-17.26899999999999,0.0,5.463000000000008
Italy,calc,-1.7139999999999986,-12.352000000000004,-28.97399999999999,0.0,7.915500000000009
Italy,actual,2.9059999999999917,-18.281000000000006,-123.56000000000006,0.0,-31.653999999999996
Japan,calc,6.7535000000000025,6.873000000000047,-100.39899999999989,-6.149000000000001,-23.086000000000013
Japan,actual,10.874000000000024,-91.8420000000001,-234.86699999999973,-57.659000000000006,-39.957999999999856
Kazakhstan,calc,-1.1235,-10.93100000000004,5.807999999999993,0.0,9.563000000000002
Kazakhstan,actual,-0.9740000000000002,-21.633000000000038,-22.75,0.0,-20.478999999999985
Latvia,calc,0.7650000000000001,-0.253,-0.9339999999999993,0.0,-0.7655000000000003
Latvia,actual,1.2810000000000006,-0.191,-2.689,0.0,-2.3870000000000005
Lithuania,calc,0.046999999999999986,-0.15000000000000036,-1.029,0.0,0.3550000000000004
Lithuania,actual,-0.121,-0.5080000000000002,-2.4450000000000003,0.0,2.0330000000000013
Luxembourg,actual,-0.04099999999999998,-0.08500000000000002,-6.595000000000002,0.0,-0.7310000000000008
Luxembourg,calc,-0.0014999999999999736,-0.07300000000000001,-2.243500000000001,0.0,-0.08300000000000018
Malaysia,actual,2.6429999999999865,43.36299999999997,-77.88,0.0,-16.01400000000001
Malaysia,calc,4.988999999999997,21.61699999999999,-45.83500000000001,0.0,30.68300000000002
Mexico,actual,8.213999999999999,-83.92399999999999,-135.10699999999997,-0.1339999999999968,-11.44500000000005
Mexico,calc,14.314499999999995,-95.28899999999999,-8.701000000000022,0.8170000000000002,-8.752499999999998
Morocco,calc,-0.5940000000000001,8.482,-0.7110000000000127,0.0,-1.1140000000000003
Morocco,actual,-1.0500000000000003,2.341000000000008,-19.833000000000027,0.0,-2.2600000000000007
Netherlands,actual,-0.07500000000000001,-26.916000000000004,-23.800999999999988,0.4109999999999996,-10.666999999999973
Netherlands,calc,0.0175,-9.582999999999998,-12.208499999999987,-0.13900000000000023,-11.597000000000008
New Zealand,calc,-2.031500000000001,1.7409999999999997,-9.024499999999996,0.0,-4.650499999999997
New Zealand,actual,-3.746000000000002,-0.8879999999999999,-17.709999999999994,0.0,-2.317999999999998
Norway,actual,39.84700000000004,-0.09799999999999898,-8.12599999999999,0.0,-1.564
Norway,calc,22.346499999999992,0.7149999999999999,-2.641999999999996,0.0,-1.7719999999999985
Pakistan,calc,1.6089999999999947,44.198999999999984,16.249500000000012,8.091,2.094999999999999
Pakistan,actual,9.763999999999996,25.18599999999998,-6.903999999999996,0.8399999999999999,-33.132000000000005
Peru,actual,-2.804000000000002,-2.2409999999999997,-33.72300000000001,0.0,-0.4129999999999967
Peru,calc,0.30299999999999727,-0.39200000000000035,-4.094000000000008,0.0,3.6510000000000034
Philippines,calc,1.4800000000000004,16.651999999999987,-15.601500000000016,0.0,-4.664499999999997
Philippines,actual,-2.190999999999999,0.7510000000000048,-47.305000000000035,0.0,-3.7319999999999993
Poland,calc,0.47950000000000026,13.072999999999979,-2.1885000000000048,0.0,7.424999999999997
Poland,actual,0.4009999999999998,-37.66899999999998,-20.00999999999999,0.0,1.7579999999999814
Portugal,calc,3.9570000000000007,-12.243,-11.286500000000004,0.0,-1.620000000000001
Portugal,actual,8.488,-7.939000000000001,-25.80600000000001,0.0,-0.9830000000000041
Romania,actual,-0.6759999999999948,-16.058999999999997,-3.948999999999998,0.36400000000000077,4.876000000000005
Romania,calc,2.245000000000001,-10.653999999999996,2.326500000000003,-0.0990000000000002,3.969999999999999
Russia,calc,24.497500000000002,-39.077,20.897500000000036,14.895999999999958,-63.84100000000035
Russia,actual,45.553999999999974,-76.52599999999995,-72.97000000000003,15.519000000000005,-208.29300000000057
Slovenia,calc,0.26149999999999984,-1.4079999999999995,-1.5675000000000008,-0.19899999999999984,0.21999999999999975
Slovenia,actual,1.1500000000000004,-0.4510000000000005,-4.895,1.285000000000002,-0.015000000000000568
South Africa,calc,1.6635,-48.59500000000003,-20.78200000000001,-1.2490000000000006,-0.21000000000000085
South Africa,actual,1.8949999999999998,-22.061000000000035,-62.54399999999998,-8.564,-2.9070000000000036
South Korea,actual,2.832,-115.207,-69.64200000000005,34.61699999999996,15.035000000000082
South Korea,calc,0.3210000000000002,-111.82600000000002,12.058499999999981,13.847499999999997,31.867999999999995
Spain,calc,9.124500000000001,-23.253,-40.730500000000006,-2.6899999999999977,-8.251000000000005
Spain,actual,20.845999999999997,-24.598,-143.77699999999993,-0.4849999999999852,-34.84300000000002
Sweden,calc,10.486499999999992,-3.5889999999999986,0.9495000000000005,-17.14,0.1745000000000001
Sweden,actual,17.72199999999998,-3.902000000000001,-10.846000000000004,-43.285,-0.3699999999999992
Switzerland,calc,-1.7554999999999978,-0.030000000000000027,-10.372500000000002,-8.7085,0.9920000000000009
Switzerland,actual,-0.8119999999999976,-0.04100000000000015,-20.995000000000005,-6.006,-0.9110000000000014
Taiwan,calc,-2.7619999999999996,1.575999999999965,3.3005000000000564,-5.993499999999997,20.15349999999998
Taiwan,actual,-6.686999999999999,-30.323000000000036,-22.140999999999963,-2.5259999999999962,16.246999999999986
Thailand,calc,-2.376499999999999,18.820999999999998,-33.42749999999995,0.0,-19.629500000000007
Thailand,actual,-4.709999999999999,13.72999999999999,-69.74799999999993,0.0,-40.86700000000002
Trinidad and Tobago,calc,0.0,0.0,-1.7010000000000005,0.0,-9.338499999999996
Trinidad and Tobago,actual,0.0,0.0,-2.9840000000000018,0.0,-22.87700000000001
Turkey,calc,-43.89599999999999,-5.204000000000008,2.5370000000000346,0.0,69.74550000000002
Turkey,actual,-29.035999999999973,-15.158999999999992,-28.95399999999995,0.0,28.48599999999999
Ukraine,actual,2.7089999999999996,-37.553,-7.184999999999988,-17.908999999999992,10.410000000000025
Ukraine,calc,5.0525,-38.382000000000005,-2.9144999999999968,3.2524999999999977,-5.205500000000001
United Kingdom,calc,-0.7565,-4.670999999999992,-86.06849999999997,-13.426500000000004,-4.735500000000002
United Kingdom,actual,2.400000000000002,-6.126999999999995,-196.56399999999996,-15.40600000000002,-47.284000000000106
United States,calc,-50.514999999999986,-213.56600000000026,-209.34900000000016,-47.22350000000006,-72.875
United States,actual,-9.822000000000003,-594.279,-1252.3630000000012,-59.728000000000065,-164.5030000000006
Uzbekistan,calc,-1.9619999999999997,4.898,1.6724999999999994,0.0,9.638499999999993
Uzbekistan,actual,-3.9049999999999994,7.745999999999999,4.213000000000001,0.0,-10.144000000000005
Venezuela,calc,6.009,-0.32299999999999995,-44.64899999999999,0.0,12.414500000000004
Venezuela,actual,10.949000000000012,-0.262,-99.53899999999999,0.0,-40.15100000000001
Vietnam,actual,17.087000000000018,29.076999999999998,-50.56999999999999,0.0,-10.036000000000001
Vietnam,calc,15.789500000000004,-1.43100000000004,-30.127499999999998,0.0,-13.220500000000001
