country,flag,coal,gas,hydro,nuclear,oil
Algeria,diff,-1.581,-32.537499999999994,-0.08250000000000002,0.0,-17.15249999999999
Argentina,diff,-4.036999999999999,-23.15299999999999,0.2064999999999948,1.783999999999999,-48.16650000000001
Australia,diff,15.613999999999976,5.009500000000003,-1.4634999999999962,0.0,-47.70800000000003
Austria,diff,-1.129999999999999,-4.306999999999995,5.791000000000004,0.0,-13.679000000000002
Azerbaijan,diff,0.003,0.6350000000000051,-0.9244999999999999,0.0,-6.498000000000001
Bangladesh,diff,10.036000000000001,-8.563499999999976,-0.1369999999999999,0.0,-28.499000000000002
Belarus,diff,-0.16300000000000026,-12.12100000000001,0.10299999999999992,-6.404999999999999,0.7340000000000018
Belgium,diff,-2.9599999999999973,-1.7554999999999978,-0.2440000000000001,-31.447500000000005,-42.751000000000005
Brazil,diff,-34.77499999999998,-66.66199999999998,41.92599999999999,-3.4450000000000003,-85.86650000000009
Bulgaria,diff,-12.624000000000002,-1.4585000000000026,-2.759,0.2629999999999981,-4.3645
Canada,diff,14.941000000000003,-33.507499999999936,11.663000000000011,3.165999999999997,-120.36950000000002
Chile,diff,-7.965000000000003,-4.3260000000000005,5.142500000000002,0.0,-18.407499999999985
China,diff,-912.9219999999987,-77.05050000000028,93.16250000000014,-29.73049999999995,-73.13499999999976
Colombia,diff,16.020999999999997,3.740000000000002,-20.010000000000005,0.0,-43.99000000000001
Croatia,diff,-0.6290000000000004,1.2514999999999983,-2.132999999999999,0.0,-3.8125
Denmark,diff,-3.09,-3.110500000000002,0.0010000000000000009,0.0,-7.265499999999996
Ecuador,diff,-0.269,-0.6760000000000002,-2.0305000000000035,0.0,-26.366500000000002
Egypt,diff,-5.381,-22.738500000000045,2.359499999999997,0.0,-38.910499999999985
Estonia,diff,-2.652000000000001,-0.4620000000000002,0.0265,0.0,0.36549999999999816
Finland,diff,-2.553000000000001,0.19149999999999956,4.6839999999999975,-1.1184999999999974,-2.4454999999999956
France,diff,-19.060000000000002,-27.68900000000002,11.469999999999999,-89.20150000000001,-98.86700000000002
Germany,diff,-107.06799999999998,-34.02999999999997,-3.604499999999998,-19.481499999999997,-55.797500000000014
Greece,diff,1.3870000000000005,-0.26599999999999824,-4.213999999999999,0.0,-21.137
Hong Kong,diff,-4.234000000000002,9.734499999999997,0.0,0.0,-26.9735
Hungary,diff,3.6569999999999983,-1.3419999999999916,0.07500000000000001,-0.2140000000000022,-8.135499999999993
India,diff,-638.1200000000008,-4.511500000000012,6.555499999999995,0.17600000000000904,-152.53549999999996
Indonesia,diff,2.1499999999999773,-16.209000000000003,3.682000000000002,0.0,-66.42799999999994
Iran,diff,0.5839999999999996,128.06799999999976,-1.7809999999999988,3.405499999999999,-36.92900000000003
Ireland,diff,-3.6630000000000003,1.0100000000000051,0.2999999999999997,0.0,-10.183999999999997
Israel,diff,5.235999999999997,0.40400000000000347,0.002999999999999999,0.0,-10.902999999999992
Italy,diff,-5.929000000000002,-39.569500000000005,4.61999999999999,0.0,-94.58600000000007
Japan,diff,-98.71500000000015,-16.871999999999844,4.120500000000021,-51.510000000000005,-134.46799999999985
Kazakhstan,diff,-10.701999999999998,-30.041999999999987,0.14949999999999974,0.0,-28.557999999999993
Latvia,diff,0.062,-1.6215000000000002,0.5160000000000005,0.0,-1.7550000000000008
Lithuania,diff,-0.3579999999999999,1.6780000000000008,-0.16799999999999998,0.0,-1.4160000000000004
Luxembourg,diff,-0.01200000000000001,-0.6480000000000006,-0.03950000000000001,0.0,-4.3515000000000015
Malaysia,diff,21.74599999999998,-46.69700000000003,-2.3460000000000107,0.0,-32.04499999999999
Mexico,diff,11.364999999999995,-2.6925000000000523,-6.100499999999997,-0.950999999999997,-126.40599999999995
Morocco,diff,-6.140999999999991,-1.1460000000000004,-0.4560000000000002,0.0,-19.122000000000014
Netherlands,diff,-17.333000000000006,0.9300000000000352,-0.09250000000000001,0.5499999999999998,-11.592500000000001
New Zealand,diff,-2.6289999999999996,2.3324999999999996,-1.714500000000001,0.0,-8.685499999999998
Norway,diff,-0.8129999999999988,0.2079999999999984,17.500500000000045,0.0,-5.483999999999995
Pakistan,diff,-19.013000000000005,-35.227000000000004,8.155000000000001,-7.2509999999999994,-23.153500000000008
Peru,diff,-1.8489999999999993,-4.064,-3.1069999999999993,0.0,-29.629000000000005
Philippines,diff,-15.900999999999982,0.9324999999999974,-3.6709999999999994,0.0,-31.70350000000002
Poland,diff,-50.74199999999996,-5.667000000000016,-0.07850000000000046,0.0,-17.821499999999986
Portugal,diff,4.303999999999999,0.6369999999999969,4.530999999999999,0.0,-14.519500000000008
Romania,diff,-5.405000000000001,0.9060000000000059,-2.920999999999996,0.46300000000000097,-6.275500000000001
Russia,diff,-37.448999999999955,-144.45200000000023,21.05649999999997,0.6230000000000473,-93.86750000000006
Slovenia,diff,0.956999999999999,-0.23500000000000032,0.8885000000000005,1.4840000000000018,-3.327499999999999
South Africa,diff,26.533999999999992,-2.6970000000000027,0.23149999999999982,-7.3149999999999995,-41.76199999999997
South Korea,diff,-3.380999999999972,-16.832999999999913,2.5109999999999997,20.769499999999965,-81.70050000000003
Spain,diff,-1.3449999999999989,-26.592000000000013,11.721499999999995,2.2050000000000125,-103.04649999999992
Sweden,diff,-0.3130000000000024,-0.5444999999999993,7.235499999999988,-26.144999999999996,-11.795500000000004
Switzerland,diff,-0.01100000000000012,-1.9030000000000022,0.9435000000000002,2.7025000000000006,-10.622500000000002
Taiwan,diff,-31.899,-3.906499999999994,-3.925,3.467500000000001,-25.44150000000002
Thailand,diff,-5.091000000000008,-21.23750000000001,-2.3335,0.0,-36.32049999999998
Trinidad and Tobago,diff,0.0,-13.538500000000013,0.0,0.0,-1.2830000000000013
Turkey,diff,-9.954999999999984,-41.25950000000003,14.860000000000014,0.0,-31.490999999999985
Ukraine,diff,0.8290000000000077,15.615500000000026,-2.3435000000000006,-21.16149999999999,-4.270499999999991
United Kingdom,diff,-1.456000000000003,-42.548500000000104,3.156500000000002,-1.9795000000000158,-110.49549999999999
United States,diff,-380.71299999999974,-91.62800000000061,40.692999999999984,-12.504500000000007,-1043.014000000001
Uzbekistan,diff,2.847999999999999,-19.7825,-1.9429999999999996,0.0,2.5405000000000015
Venezuela,diff,0.06099999999999994,-52.565500000000014,4.940000000000012,0.0,-54.89
Vietnam,diff,30.508000000000038,3.1845,1.2975000000000136,0.0,-20.442499999999995
